,Base Salary,Bonus,Stock options
Justin Evans,440000,79200,299200
Kimberly Hill,590000,206500,371700
Kenneth Peterson,410000,131200,315700
Sarah Collins,470000,178600,173900
Rachel Moore,590000,259600,401200
Matthew Green,550000,132000,346500
Nicole Walker,430000,68800,227900
Stephanie Rivera,600000,138000,192000
Laura Lee,450000,130500,202500
Samantha Jackson,510000,61200,209100
Dennis Moore,450000,193500,351000
Anthony Jackson,430000,197800,219300
Kenneth Martin,530000,90100,339200
Rachel Cooper,440000,184800,180400
Angela Taylor,430000,150500,283800
Richard White,460000,174800,340400
Gregory Martin,430000,81700,189200
Paul Morgan,570000,239400,376200
Elizabeth Jackson,470000,192700,291400
