,Base Salary,Bonus,Stock options
Jennifer Rivera,580000,58000,278400
Jonathan Wood,560000,134400,257600
Stephanie Reed,530000,143100,201400
Melissa Clark,490000,73500,249900
Matthew Parker,540000,124200,199800
James Ward,430000,180600,159100
Robert Sharma,490000,107800,230300
Patricia Wilson,410000,172200,233700
Frank Wood,400000,44000,220000
Kevin Bailey,560000,184800,403200
Dorothy Wilson,560000,190400,285600
Robert Ward,400000,140000,196000
Nancy Campbell,430000,210700,227900
Jerry Wood,480000,100800,220800
Ashley Reed,410000,86100,123000
Frank Parker,400000,188000,140000
Brian Lewis,410000,139400,180400
Amy Brooks,470000,220900,188000
Paul Rogers,450000,45000,144000
Ryan Thompson,550000,66000,390500
