,Base Salary,Bonus,Stock options
Angela Bennett,550000,159500,407000
Helen Walker,530000,121900,386900
Paul Morris,520000,83200,218400
Lisa Kelly,590000,253700,318600
Justin Brooks,520000,78000,312000
Justin Adams,410000,184500,123000
Kevin Sharma,580000,63800,435000
Amy King,490000,156800,284200
Dorothy Ramirez,480000,96000,283200
Jennifer Clark,570000,165300,359100
David Ward,450000,58500,247500
Brittany Cook,470000,220900,366600
James Price,530000,206700,360400
Laura King,580000,63800,417600
Adam Phillips,570000,119700,313500
Jerry White,500000,85000,380000
Amanda Morgan,570000,250800,222300
Jeffrey Taylor,470000,159800,155100
Emily Torres,450000,220500,211500
